,Dat,sum,count
0,1990,3,44
1,1991,9,84
2,1992,6,83
3,1993,11,92
4,1994,12,93
5,1995,12,65
6,1996,14,66
7,1997,5,72
8,1998,8,66
9,1999,12,85
10,2000,8,60
11,2001,10,58
12,2002,11,53
13,2003,17,51
14,2004,14,46
15,2005,10,30
16,2006,19,63
17,2007,11,43
18,2008,21,64
19,2009,8,47
20,2010,8,32
21,2011,16,51
22,2012,13,62
23,2013,20,43
24,2014,21,79
25,2015,26,69
26,2016,22,78
27,2017,6,73
28,2018,10,75
29,2019,6,33
30,2020,2,8
