,Dat,sum,count
0,1990,1,4
1,1991,1,9
2,1992,0,2
3,1993,0,6
4,1994,2,8
5,1995,1,8
6,1996,1,5
7,1997,1,19
8,1998,3,18
9,1999,1,26
10,2000,2,23
11,2001,5,24
12,2002,5,19
13,2003,9,16
14,2004,2,11
15,2005,2,13
16,2006,6,26
17,2007,5,14
18,2008,2,11
19,2009,2,18
20,2010,1,8
21,2011,2,12
22,2012,3,21
23,2013,4,14
24,2014,1,8
25,2015,8,14
26,2016,1,6
27,2017,1,9
28,2018,0,4
29,2019,0,1
