,Dat,sum,count
0,1991,2,24
1,1992,2,52
2,1993,4,62
3,1994,5,45
4,1995,4,36
5,1996,1,31
6,1997,1,29
7,1998,2,17
8,1999,2,14
9,2000,2,12
10,2001,1,12
11,2002,1,6
12,2003,1,4
13,2004,1,5
14,2005,0,1
15,2006,1,4
16,2007,0,1
17,2008,1,6
18,2009,1,2
19,2010,4,6
20,2011,2,9
21,2012,1,3
22,2013,0,3
23,2014,2,6
24,2015,1,7
25,2016,1,6
26,2017,0,2
27,2018,0,2
28,2019,1,3
29,2020,1,1
