,Dat,sum,count
0,1990,2,20
1,1991,2,23
2,1992,1,12
3,1993,0,4
4,1994,1,14
5,1995,2,6
6,1996,10,15
7,1997,1,4
8,1998,1,16
9,1999,0,15
10,2000,1,15
11,2001,0,11
12,2002,0,3
13,2003,0,1
14,2004,0,1
15,2008,0,1
16,2009,0,2
17,2010,0,1
18,2012,0,1
19,2013,1,1
20,2014,4,5
21,2015,6,7
22,2016,8,12
23,2017,0,5
