,Dat,sum,count
0,1990,0,2
1,1991,0,4
2,1993,0,3
3,1994,2,8
4,1995,5,11
5,1996,1,4
6,1997,0,6
7,1998,0,1
8,1999,2,4
9,2000,0,2
10,2001,1,1
11,2003,1,2
12,2004,2,4
13,2005,2,5
14,2006,2,4
15,2007,0,4
16,2008,0,6
17,2010,0,2
18,2011,4,9
19,2012,1,8
20,2013,0,3
21,2014,6,31
22,2015,4,23
23,2016,4,33
24,2017,0,37
25,2018,2,38
26,2019,0,8
