,Dat,sum,count
0,1990,0,2
1,1991,0,1
2,1993,0,1
3,1994,0,4
4,1995,0,1
5,1996,0,5
6,1998,0,2
7,1999,1,2
8,2001,0,1
9,2004,0,2
10,2005,0,2
11,2006,1,2
12,2007,0,2
13,2008,1,2
14,2009,1,2
15,2010,0,1
16,2018,0,2
17,2019,0,1
18,2020,0,3
